artist_name,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,key,mode,characteristic_id,artist_id,genre_id
Reading Background Music Playlist,0.987,0.696,111410,0.025,0.827,0.102,-20.970,0.092,90.964,0.112,6.000,5,1,201045,23424,
Reading Rainbow,0.832,0.736,53760,0.363,0.000,0.080,-15.792,0.751,166.209,0.197,36.000,9,1,201046,23425,
Ready For The World,0.104,0.682,312977,0.384,0.002,0.180,-13.077,0.046,126.965,0.521,32.000,0,0,201047,23426,
Reagan Youth,0.057,0.388,104230,0.827,0.011,0.305,-7.252,0.136,139.057,0.467,32.000,2,1,201048,23427,
Reakwon,0.115,0.709,310573,0.740,0.000,0.145,-6.476,0.434,98.141,0.529,47.000,7,1,201049,23428,
Real De Catorce,0.048,0.353,319733,0.468,0.000,0.099,-15.002,0.062,187.206,0.473,48.000,7,1,201050,23429,
Real Deal,0.358,0.667,361500,0.846,0.000,0.348,-4.698,0.217,142.036,0.573,0.000,10,0,201051,23430,
Real Estate,0.046,0.406,218480,0.845,0.053,0.100,-5.998,0.045,148.325,0.421,50.000,2,1,201052,23431,
Real Friends,0.563,0.527,164000,0.377,0.000,0.080,-9.762,0.025,143.977,0.313,55.000,5,1,201053,23432,
Real Life,0.035,0.624,237422,0.843,0.007,0.146,-6.530,0.035,122.749,0.607,25.000,2,0,201054,23433,
Real McCoy,0.036,0.757,225209,0.890,0.003,0.191,-7.475,0.040,121.919,0.777,51.667,7,1,201055,23434,
Really Doe,0.011,0.234,448000,0.880,0.000,0.045,-3.660,0.123,85.641,0.216,54.000,11,0,201056,23435,
Realm F Versus Rankey,0.000,0.583,489639,0.961,0.857,0.108,-4.434,0.052,134.998,0.743,0.000,7,1,201057,23436,
Realm of Possibilities,0.913,0.360,952560,0.342,0.862,0.077,-13.829,0.029,108.627,0.107,0.000,0,1,201058,23437,
Reaxion Guerrila,0.000,0.537,239640,0.980,0.337,0.967,-7.644,0.053,139.998,0.347,5.000,11,0,201059,23438,
Reba,0.994,0.657,185992,0.288,0.770,0.225,-11.248,0.104,79.876,0.741,0.000,7,1,201060,23439,
Reba McEntire,0.443,0.554,216926,0.378,0.001,0.144,-12.158,0.037,119.450,0.405,36.888,7,1,201061,23440,
Rebbesoul,0.319,0.649,170867,0.453,0.000,0.166,-10.594,0.177,175.854,0.742,0.000,2,1,201062,23441,
Rebbie Jackson,0.079,0.539,270627,0.657,0.000,0.183,-8.485,0.059,117.137,0.658,32.000,11,1,201063,23442,
Rebecca Bowman,0.615,0.489,263160,0.366,0.000,0.708,-10.378,0.032,64.663,0.219,12.000,8,1,201064,23443,
Rebecca Caine,0.970,0.228,318427,0.267,0.035,0.319,-11.436,0.035,85.309,0.110,24.000,10,1,201065,23444,
Rebecca Luker,0.954,0.148,247733,0.132,0.000,0.082,-16.713,0.043,82.770,0.054,30.000,1,1,201066,23445,
Rebecca Lynn Howard,0.044,0.612,238573,0.461,0.000,0.103,-5.698,0.032,134.281,0.232,36.000,7,1,201067,23446,
Rebecca Naomi Jones,0.057,0.417,262387,0.647,0.000,0.059,-5.870,0.030,166.120,0.339,57.000,8,1,201068,23447,
Rebecca St. James,0.148,0.552,265667,0.604,0.024,0.345,-8.143,0.032,119.951,0.210,34.000,1,0,201069,23448,
Rebecca Sugar,0.879,0.591,143630,0.242,0.000,0.150,-10.098,0.031,118.001,0.292,70.000,0,0,201070,23449,
Rebeka Brown,0.001,0.306,480183,0.933,0.096,0.074,-6.695,0.047,130.015,0.218,14.000,9,0,201071,23450,
Rebel Son,0.003,0.521,215147,0.702,0.019,0.277,-7.002,0.030,76.089,0.952,50.000,4,0,201072,23451,
Rebel Souljahz,0.330,0.802,237060,0.513,0.000,0.208,-6.658,0.057,132.874,0.788,49.000,2,1,201073,23452,
