genre_name,genre_id,characteristic_id
classic garage rock,623,175012
classic girl group,624,175013
classic greek pop,625,175014
classic hardstyle,626,175015
classic hungarian pop,627,175016
classic icelandic pop,628,175017
classic indo pop,629,175018
classic iskelma,630,175019
classic israeli pop,631,175020
classic italian folk pop,632,175021
classic italian pop,633,175022
classic j-pop,634,175023
classic j-rock,635,175024
classic japanese jazz,636,175025
classic korean pop,637,175026
classic latvian pop,638,175027
classic luk thung,639,175028
classic mandopop,640,175029
classic norwegian pop,641,175030
classic nz pop,642,175031
classic opm,643,175032
classic pakistani pop,644,175033
classic persian pop,645,175034
classic peruvian pop,646,175035
classic polish pop,647,175036
classic praise,648,175037
classic progressive house,649,175038
classic psychedelic rock,650,175039
classic punjabi pop,651,175040
classic rock,652,175041
classic russian pop,653,175042
classic russian rock,654,175043
classic schlager,655,175044
classic soul,656,175045
classic soundtrack,657,175046
classic swedish pop,658,175047
classic thai pop,659,175048
classic tunisian pop,660,175049
classic turkish pop,661,175050
classic uk pop,662,175051
classic venezuelan pop,663,175052
classical,664,175053
classical accordion,665,175054
classical baritone,666,175055
classical bass,667,175056
classical cello,668,175057
classical clarinet,669,175058
classical contralto,670,175059
classical countertenor,671,175060
classical era,672,175061
classical flute,673,175062
classical guitar,674,175063
classical guitar quartet,675,175064
classical harp,676,175065
classical horn,677,175066
classical mandolin,678,175067
classical mezzo-soprano,679,175068
classical oboe,680,175069
classical organ,681,175070
classical performance,682,175071
classical piano,683,175072
classical piano duo,684,175073
classical piano trio,685,175074
classical saxophone,686,175075
classical soprano,687,175076
classical tenor,688,175077
classical trumpet,689,175078
classify,690,175079
clawhammer banjo,691,175080
clean comedy,692,175081
cleveland metal,693,175082
coco,694,175083
collage pop,695,175084
college a cappella,696,175085
college marching band,697,175086
cologne electronic,698,175087
cologne indie,699,175088
colombian electronic,700,175089
colombian hip hop,701,175090
colombian indie,702,175091
colombian pop,703,175092
colombian rock,704,175093
comedia,705,175094
comedy,706,175095
comedy rap,707,175096
comedy rock,708,175097
comic,709,175098
comic metal,710,175099
commons,711,175100
complextro,712,175101
compositional ambient,713,175102
concert band,714,175103
connecticut hardcore,715,175104
conscious hip hop,716,175105
contemporary choir,717,175106
contemporary classical,718,175107
contemporary classical piano,719,175108
contemporary country,720,175109
contemporary folk,721,175110
contemporary gospel,722,175111
contemporary jazz,723,175112
contemporary post-bop,724,175113
contemporary vocal jazz,725,175114
contrabass,726,175115
cool jazz,727,175116
copla,728,175117
cornish folk,729,175118
cornwall indie,730,175119
corrido,731,175120
corridos tumbados,732,175121
corrosion,733,175122
cosmic american,734,175123
cosmic black metal,735,175124
cosmic post-rock,736,175125
cosmic uplifting trance,737,175126
country,738,175127
country blues,739,175128
country boogie,740,175129
country dawn,741,175130
country gospel,742,175131
country pop,743,175132
country quebecois,744,175133
country rap,745,175134
country road,746,175135
country rock,747,175136
coverchill,748,175137
cowboy western,749,175138
cowpunk,750,175139
crack rock steady,751,175140
croatian electronic,752,175141
croatian folk,753,175142
croatian pop,754,175143
croatian rock,755,175144
crossover prog,756,175145
crossover thrash,757,175146
crunk,758,175147
crust punk,759,175148
cuarteto,760,175149
cuatro venezolano,761,175150
cuban rumba,762,175151
cubaton,763,175152
cumbia,764,175153
cumbia andina mexicana,765,175154
cumbia chilena,766,175155
cumbia colombiana regia,767,175156
cumbia ecuatoriana,768,175157
cumbia funk,769,175158
cumbia lagunera,770,175159
cumbia paraguaya,771,175160
cumbia peruana,772,175161
cumbia ranchera,773,175162
cumbia salvadorena,774,175163
cumbia sonidera,775,175164
cumbia villera,776,175165
cyberpunk,777,175166
cymraeg,778,175167
cypriot pop,779,175168
czech classical,780,175169
czech classical piano,781,175170
czech contemporary classical,782,175171
czech folk,783,175172
czech hip hop,784,175173
czsk hip hop,785,175174
d-beat,786,175175
dabke,787,175176
dakke dak,788,175177
dalarna indie,789,175178
dallas indie,790,175179
dance pop,791,175180
dance rock,792,175181
dance-punk,793,175182
dancehall,794,175183
dangdut,795,175184
danish alternative rock,796,175185
danish classical,797,175186
danish electro,798,175187
danish electronic,799,175188
danish electropop,800,175189
danish experimental,801,175190
danish hip hop,802,175191
danish jazz,803,175192
danish metal,804,175193
danish pop,805,175194
danish pop rock,806,175195
danish post-punk,807,175196
danish rock,808,175197
danish singer-songwriter,809,175198
danish techno,810,175199
dansband,811,175200
danseband,812,175201
dansktop,813,175202
danspunk,814,175203
dark cabaret,815,175204
dark clubbing,816,175205
dark disco,817,175206
dark electro,818,175207
dark hardcore,819,175208
dark jazz,820,175209
dark minimal techno,821,175210
dark post-punk,822,175211
dark progressive house,823,175212
dark psytrance,824,175213
dark techno,825,175214
dark trap,826,175215
dark wave,827,175216
darkstep,828,175217
darksynth,829,175218
dayton indie,830,175219
dc hardcore,831,175220
death 'n' roll,832,175221
death metal,833,175222
deathcore,834,175223
deathgrass,835,175224
deathgrind,836,175225
deathrash,837,175226
deathrock,838,175227
deathstep,839,175228
deep acoustic pop,840,175229
deep adult standards,841,175230
deep big room,842,175231
deep ccm,843,175232
deep chill,844,175233
deep christian rock,845,175234
deep classic garage rock,846,175235
deep comedy,847,175236
deep contemporary country,848,175237
deep dance pop,849,175238
deep darkpsy,850,175239
deep deep house,851,175240
deep deep tech house,852,175241
deep delta blues,853,175242
deep disco,854,175243
deep disco house,855,175244
deep dnb,856,175245
deep dubstep,857,175246
deep east coast hip hop,858,175247
deep euro house,859,175248
deep eurodance,860,175249
deep filthstep,861,175250
deep flow,862,175251
deep free jazz,863,175252
deep freestyle,864,175253
deep full on,865,175254
deep funk,866,175255
deep funk house,867,175256
deep g funk,868,175257
deep german punk,869,175258
deep groove house,870,175259
deep happy hardcore,871,175260
